Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Age,Is_single,Edu_2n Cycle,Edu_Basic,Edu_Graduation,Edu_Master,Edu_PhD,Days_Suscribed,Children,TotalAcceptedCmp,TotalSpent
58138.0,58.0,635.0,88.0,546.0,172.0,88.0,88.0,3.0,8.0,10.0,4.0,7.0,0.0,63.0,1.0,0.0,0.0,1.0,0.0,0.0,2675.0,0.0,1.0,1617.0
46344.0,38.0,11.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,5.0,0.0,66.0,1.0,0.0,0.0,1.0,0.0,0.0,2125.0,2.0,0.0,27.0
71613.0,26.0,426.0,49.0,127.0,111.0,21.0,42.0,1.0,8.0,2.0,10.0,4.0,0.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,2324.0,0.0,0.0,776.0
26646.0,26.0,11.0,4.0,20.0,10.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,2151.0,1.0,0.0,53.0
58293.0,94.0,173.0,43.0,118.0,46.0,27.0,15.0,5.0,5.0,3.0,6.0,5.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,2173.0,1.0,0.0,422.0
62513.0,16.0,520.0,42.0,98.0,0.0,42.0,14.0,2.0,6.0,4.0,10.0,6.0,0.0,53.0,0.0,0.0,0.0,0.0,1.0,0.0,2305.0,1.0,0.0,716.0
55635.0,34.0,235.0,65.0,164.0,50.0,49.0,27.0,4.0,7.0,3.0,7.0,6.0,0.0,49.0,1.0,0.0,0.0,1.0,0.0,0.0,2605.0,1.0,0.0,590.0
33454.0,32.0,76.0,10.0,56.0,3.0,1.0,23.0,2.0,4.0,0.0,4.0,8.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,2429.0,1.0,0.0,169.0
30351.0,19.0,14.0,0.0,24.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,9.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,2400.0,1.0,1.0,46.0
5648.0,68.0,28.0,0.0,6.0,1.0,1.0,13.0,1.0,1.0,0.0,0.0,20.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,1.0,2120.0,2.0,1.0,49.0
45684.0,11.0,5.0,5.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,7.0,0.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,2238.0,1.0,0.0,19.0
7500.0,59.0,6.0,16.0,11.0,11.0,1.0,16.0,1.0,2.0,0.0,3.0,8.0,0.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,2605.0,0.0,0.0,61.0
63033.0,82.0,194.0,61.0,480.0,225.0,112.0,30.0,1.0,3.0,4.0,8.0,2.0,0.0,61.0,1.0,0.0,0.0,1.0,0.0,0.0,2238.0,0.0,0.0,1102.0
59354.0,53.0,233.0,2.0,53.0,3.0,5.0,14.0,3.0,6.0,1.0,5.0,6.0,0.0,68.0,1.0,0.0,0.0,0.0,1.0,0.0,2238.0,2.0,0.0,310.0
17323.0,38.0,3.0,14.0,17.0,6.0,1.0,5.0,1.0,1.0,0.0,3.0,8.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,2639.0,0.0,0.0,46.0
82800.0,23.0,1006.0,22.0,115.0,59.0,68.0,45.0,1.0,7.0,6.0,12.0,3.0,0.0,74.0,1.0,0.0,0.0,0.0,0.0,1.0,2594.0,0.0,3.0,1315.0
41850.0,51.0,53.0,5.0,19.0,2.0,13.0,4.0,3.0,3.0,0.0,3.0,8.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,2564.0,2.0,0.0,96.0
37760.0,20.0,84.0,5.0,38.0,150.0,12.0,28.0,2.0,4.0,1.0,6.0,7.0,0.0,74.0,0.0,0.0,0.0,1.0,0.0,0.0,2679.0,0.0,0.0,317.0
76995.0,91.0,1012.0,80.0,498.0,0.0,16.0,176.0,2.0,11.0,4.0,9.0,5.0,0.0,71.0,0.0,0.0,0.0,0.0,1.0,0.0,2470.0,1.0,1.0,1782.0
33812.0,86.0,4.0,17.0,19.0,30.0,24.0,39.0,2.0,2.0,1.0,3.0,6.0,0.0,35.0,1.0,1.0,0.0,0.0,0.0,0.0,2615.0,1.0,0.0,133.0
37040.0,41.0,86.0,2.0,73.0,69.0,38.0,48.0,1.0,4.0,2.0,5.0,8.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,2702.0,0.0,0.0,316.0
2447.0,42.0,1.0,1.0,1725.0,1.0,1.0,1.0,15.0,0.0,28.0,0.0,1.0,0.0,41.0,0.0,0.0,0.0,1.0,0.0,0.0,2551.0,1.0,0.0,1730.0
58607.0,63.0,867.0,0.0,86.0,0.0,0.0,19.0,3.0,2.0,3.0,9.0,8.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.0,2565.0,1.0,1.0,972.0
65324.0,0.0,384.0,0.0,102.0,21.0,32.0,5.0,3.0,6.0,2.0,9.0,4.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0,2181.0,1.0,0.0,544.0
