Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Age,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Days_Customer,Total_AcceptedCmp,Total_SpentProducts
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,67,0,0,1,0,0,0,0,1,0,0,4219,1,1617
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,70,0,0,1,0,0,0,0,1,0,0,3669,0,27
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,59,0,0,1,0,0,0,0,0,1,0,3868,0,776
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,40,0,0,1,0,0,0,0,0,1,0,3695,0,53
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,43,0,0,0,0,1,0,1,0,0,0,3717,0,422
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,57,0,0,0,1,0,0,0,0,1,0,3849,0,716
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,53,0,0,1,0,0,1,0,0,0,0,4149,0,590
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,39,0,0,0,0,1,0,1,0,0,0,3973,0,169
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,50,0,0,0,0,1,0,0,0,1,0,3944,1,46
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,0,74,0,0,0,0,1,0,0,0,1,0,3664,1,49
52247.25135379061,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,41,0,0,1,0,0,0,1,0,0,0,3782,0,19
7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,48,0,1,0,0,0,0,1,0,0,0,4149,0,61
63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,65,0,0,1,0,0,1,0,0,0,0,3782,0,1102
59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,72,0,0,0,1,0,1,0,0,0,0,3782,0,310
17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,37,0,0,1,0,0,0,1,0,0,0,4183,0,46
82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,78,0,0,0,0,1,0,0,1,0,0,4138,3,1315
41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,44,0,0,1,0,0,0,1,0,0,0,4108,0,96
37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,78,0,0,1,0,0,0,0,0,1,0,4223,0,317
